year,class,bin_low,bin_high,n,mean_pred,obs_freq
2022,home_win,0.0,0.1,1,0.09999243406186653,1.0
2022,home_win,0.1,0.2,4,0.17715490478783535,0.0
2022,home_win,0.2,0.3,16,0.2583665516035079,0.3125
2022,home_win,0.3,0.4,13,0.3594319528270927,0.46153846153846156
2022,home_win,0.4,0.5,20,0.45016514363966964,0.45
2022,home_win,0.5,0.6,9,0.5489880038623441,0.6666666666666666
2022,home_win,0.6,0.7,1,0.6439001632728142,1.0
2022,home_win,0.7,0.8,0,,
2022,home_win,0.8,0.9,0,,
2022,home_win,0.9,1.0,0,,
2022,draw,0.0,0.1,0,,
2022,draw,0.1,0.2,0,,
2022,draw,0.2,0.3,47,0.26795776311706887,0.23404255319148937
2022,draw,0.3,0.4,17,0.31252200701029026,0.23529411764705882
2022,draw,0.4,0.5,0,,
2022,draw,0.5,0.6,0,,
2022,draw,0.6,0.7,0,,
2022,draw,0.7,0.8,0,,
2022,draw,0.8,0.9,0,,
2022,draw,0.9,1.0,0,,
2022,away_win,0.0,0.1,0,,
2022,away_win,0.1,0.2,6,0.15888290808587271,0.16666666666666666
2022,away_win,0.2,0.3,19,0.24131761973437416,0.21052631578947367
2022,away_win,0.3,0.4,18,0.33785809549025814,0.3888888888888889
2022,away_win,0.4,0.5,12,0.4455797633229754,0.4166666666666667
2022,away_win,0.5,0.6,7,0.5207864127278024,0.5714285714285714
2022,away_win,0.6,0.7,2,0.6388418433053349,0.0
2022,away_win,0.7,0.8,0,,
2022,away_win,0.8,0.9,0,,
2022,away_win,0.9,1.0,0,,
