edition_date,periodId,team,team_source,rank,points,confederation
2026-04-01,20260401,France,France,1,1877,UEFA
2026-04-01,20260401,Spain,Spain,2,1876,UEFA
2026-04-01,20260401,Argentina,Argentina,3,1875,CONMEBOL
2026-04-01,20260401,England,England,4,1826,UEFA
2026-04-01,20260401,Portugal,Portugal,5,1764,UEFA
2026-04-01,20260401,Brazil,Brazil,6,1761,CONMEBOL
2026-04-01,20260401,Netherlands,Netherlands,7,1758,UEFA
2026-04-01,20260401,Morocco,Morocco,8,1756,CAF
2026-04-01,20260401,Belgium,Belgium,9,1735,UEFA
2026-04-01,20260401,Germany,Germany,10,1730,UEFA
2026-04-01,20260401,Croatia,Croatia,11,1717,UEFA
2026-04-01,20260401,Italy,Italy,12,1700,
2026-04-01,20260401,Colombia,Colombia,13,1693,CONMEBOL
2026-04-01,20260401,Senegal,Senegal,14,1689,CAF
2026-04-01,20260401,Mexico,Mexico,15,1681,CONCACAF
2026-04-01,20260401,United States,USA,16,1673,CONCACAF
2026-04-01,20260401,Uruguay,Uruguay,17,1673,CONMEBOL
2026-04-01,20260401,Japan,Japan,18,1660,AFC
2026-04-01,20260401,Switzerland,Switzerland,19,1649,UEFA
2026-04-01,20260401,Denmark,Denmark,20,1621,
2026-04-01,20260401,Iran,Iran,21,1615,AFC
2026-04-01,20260401,Turkey,Turkiye,22,1599,UEFA
2026-04-01,20260401,Ecuador,Ecuador,23,1595,CONMEBOL
2026-04-01,20260401,Austria,Austria,24,1593,UEFA
2026-04-01,20260401,South Korea,South Korea,25,1589,AFC
2026-04-01,20260401,Nigeria,Nigeria,26,1585,
2026-04-01,20260401,Australia,Australia,27,1581,AFC
2026-04-01,20260401,Algeria,Algeria,28,1564,CAF
2026-04-01,20260401,Egypt,Egypt,29,1563,CAF
2026-04-01,20260401,Canada,Canada,30,1556,CONCACAF
2026-04-01,20260401,Norway,Norway,31,1551,UEFA
2026-04-01,20260401,Ukraine,Ukraine,32,1547,
2026-04-01,20260401,Panama,Panama,33,1541,CONCACAF
2026-04-01,20260401,Ivory Coast,Ivory Coast,34,1533,CAF
