match_id,match_no,stage,group_code,team_a,team_b,venue_id,stadium,city,country,kickoff_time_utc,kickoff_date_local,status,host_flag_a,host_flag_b
M001,1,group,A,Mexico,South Africa,MEX,Estadio Azteca,Mexico City,Mexico,2026-06-11T19:00:00Z,2026-06-11,scheduled,True,False
M002,2,group,A,South Korea,Czech Republic,GDL,Estadio Akron,Zapopan,Mexico,2026-06-12T02:00:00Z,2026-06-11,scheduled,False,False
M003,3,group,B,Canada,Bosnia and Herzegovina,TOR,BMO Field,Toronto,Canada,2026-06-12T19:00:00Z,2026-06-12,scheduled,True,False
M004,4,group,D,United States,Paraguay,LA,SoFi Stadium,Inglewood,United States,2026-06-13T01:00:00Z,2026-06-12,scheduled,True,False
M005,5,group,C,Haiti,Scotland,BOS,Gillette Stadium,Foxborough,United States,2026-06-14T01:00:00Z,2026-06-13,scheduled,False,False
M006,6,group,D,Australia,Turkey,VAN,BC Place,Vancouver,Canada,2026-06-14T04:00:00Z,2026-06-13,scheduled,False,False
M007,7,group,C,Brazil,Morocco,NY,MetLife Stadium,East Rutherford,United States,2026-06-13T22:00:00Z,2026-06-13,scheduled,False,False
M008,8,group,B,Qatar,Switzerland,SF,Levi's Stadium,Santa Clara,United States,2026-06-13T19:00:00Z,2026-06-13,scheduled,False,False
M009,9,group,E,Ivory Coast,Ecuador,PHI,Lincoln Financial Field,Philadelphia,United States,2026-06-14T23:00:00Z,2026-06-14,scheduled,False,False
M010,10,group,E,Germany,Curaçao,HOU,NRG Stadium,Houston,United States,2026-06-14T17:00:00Z,2026-06-14,scheduled,False,False
M011,11,group,F,Netherlands,Japan,DAL,AT&T Stadium,Arlington,United States,2026-06-14T20:00:00Z,2026-06-14,scheduled,False,False
M012,12,group,F,Sweden,Tunisia,MTY,Estadio BBVA,Guadalupe,Mexico,2026-06-15T02:00:00Z,2026-06-14,scheduled,False,False
M013,13,group,H,Saudi Arabia,Uruguay,MIA,Hard Rock Stadium,Miami Gardens,United States,2026-06-15T22:00:00Z,2026-06-15,scheduled,False,False
M014,14,group,H,Spain,Cape Verde,ATL,Mercedes-Benz Stadium,Atlanta,United States,2026-06-15T16:00:00Z,2026-06-15,scheduled,False,False
M015,15,group,G,Iran,New Zealand,LA,SoFi Stadium,Inglewood,United States,2026-06-16T01:00:00Z,2026-06-15,scheduled,False,False
M016,16,group,G,Belgium,Egypt,SEA,Lumen Field,Seattle,United States,2026-06-15T19:00:00Z,2026-06-15,scheduled,False,False
M017,17,group,I,France,Senegal,NY,MetLife Stadium,East Rutherford,United States,2026-06-16T19:00:00Z,2026-06-16,scheduled,False,False
M018,18,group,I,Iraq,Norway,BOS,Gillette Stadium,Foxborough,United States,2026-06-16T22:00:00Z,2026-06-16,scheduled,False,False
M019,19,group,J,Argentina,Algeria,KAN,Arrowhead Stadium,Kansas City,United States,2026-06-17T01:00:00Z,2026-06-16,scheduled,False,False
M020,20,group,J,Austria,Jordan,SF,Levi's Stadium,Santa Clara,United States,2026-06-17T04:00:00Z,2026-06-16,scheduled,False,False
M021,21,group,L,Ghana,Panama,TOR,BMO Field,Toronto,Canada,2026-06-17T23:00:00Z,2026-06-17,scheduled,False,False
M022,22,group,L,England,Croatia,DAL,AT&T Stadium,Arlington,United States,2026-06-17T20:00:00Z,2026-06-17,scheduled,False,False
M023,23,group,K,Portugal,DR Congo,HOU,NRG Stadium,Houston,United States,2026-06-17T17:00:00Z,2026-06-17,scheduled,False,False
M024,24,group,K,Uzbekistan,Colombia,MEX,Estadio Azteca,Mexico City,Mexico,2026-06-18T02:00:00Z,2026-06-17,scheduled,False,False
M025,25,group,A,Czech Republic,South Africa,ATL,Mercedes-Benz Stadium,Atlanta,United States,2026-06-18T16:00:00Z,2026-06-18,scheduled,False,False
M026,26,group,B,Switzerland,Bosnia and Herzegovina,LA,SoFi Stadium,Inglewood,United States,2026-06-18T19:00:00Z,2026-06-18,scheduled,False,False
M027,27,group,B,Canada,Qatar,VAN,BC Place,Vancouver,Canada,2026-06-18T22:00:00Z,2026-06-18,scheduled,True,False
