group_code,seed1,seed2,seed3,seed4,host_team
A,Mexico,South Africa,South Korea,Czech Republic,Mexico
B,Canada,Bosnia and Herzegovina,Qatar,Switzerland,Canada
C,Brazil,Morocco,Haiti,Scotland,
D,United States,Paraguay,Australia,Turkey,United States
E,Germany,Curaçao,Ivory Coast,Ecuador,
F,Netherlands,Japan,Sweden,Tunisia,
G,Belgium,Egypt,Iran,New Zealand,
H,Spain,Cape Verde,Saudi Arabia,Uruguay,
I,France,Senegal,Iraq,Norway,
J,Argentina,Algeria,Austria,Jordan,
K,Portugal,DR Congo,Uzbekistan,Colombia,
L,England,Croatia,Ghana,Panama,
