team,home_altitude_m,source_note
Abkhazia,0,
Afghanistan,0,
Albania,0,
Alderney,0,
Algeria,0,
Ambazonia,0,
American Samoa,0,
Andalusia,0,
Andorra,0,
Angola,0,
Anguilla,0,
Antigua and Barbuda,0,
Arameans Suryoye,0,
Argentina,25,
Armenia,0,
Artsakh,0,
Aruba,0,
Asturias,0,
Australia,0,
Austria,0,
Aymara,0,
Azerbaijan,0,
Bahamas,0,
Bahrain,0,
Bangladesh,0,
Barawa,0,
Barbados,0,
Basque Country,0,
Belarus,0,
Belgium,0,
Belize,0,
Benin,0,
Bermuda,0,
Bhutan,2330,"Thimphu (~2,330 m)"
Biafra,0,
Bolivia,3640,"Estadio Hernando Siles, La Paz (~3,640 m)"
Bonaire,0,
Bosnia and Herzegovina,0,
Botswana,0,
Brazil,10,
British Virgin Islands,0,
Brittany,0,
Brunei,0,
Bulgaria,0,
Burkina Faso,0,
Burundi,0,
Cambodia,0,
Cameroon,0,
Canada,0,
Canary Islands,0,
Cape Verde,0,
Cascadia,0,
Catalonia,0,
Cayman Islands,0,
Central African Republic,0,
Central Spain,0,
Chad,0,
Chagos Islands,0,
Chameria,0,
Chechnya,0,
Chile,200,"capped at 200 per scope; Santiago is ~520 m (not in WC2026, minor effect)"
China PR,0,
Cilento,0,
Colombia,2640,"Estadio El Campín, Bogotá (~2,640 m)"
Comoros,0,
Congo,0,
Cook Islands,0,
Corsica,0,
Costa Rica,0,
County of Nice,0,
Crimea,0,
Croatia,0,
Cuba,0,
Curaçao,0,
Cyprus,0,
Czech Republic,0,
Czechoslovakia,0,
DR Congo,0,
Darfur,0,
Denmark,0,
Djibouti,0,
Dominica,0,
Dominican Republic,0,
Donetsk PR,0,
Délvidék,0,
East Turkestan,0,
Ecuador,2850,"Estadio Rodrigo Paz Delgado, Quito (~2,850 m)"
Egypt,0,
El Salvador,0,
Elba Island,0,
Ellan Vannin,0,
England,0,
Equatorial Guinea,0,
Eritrea,2325,"Asmara (~2,325 m)"
Estonia,0,
Eswatini,0,
Ethiopia,2355,"Addis Ababa (~2,355 m)"
Falkland Islands,0,
Faroe Islands,0,
Felvidék,0,
Fiji,0,
Finland,0,
France,0,
Franconia,0,
French Guiana,0,
Frøya,0,
Gabon,0,
Galicia,0,
Gambia,0,
Georgia,0,
German DR,0,
Germany,0,
Ghana,0,
Gibraltar,0,
Gotland,0,
Gozo,0,
Greece,0,
Greenland,0,
Grenada,0,
Guadeloupe,0,
Guam,0,
Guatemala,0,
Guernsey,0,
Guinea,0,
Guinea-Bissau,0,
Guyana,0,
Găgăuzia,0,
Haiti,0,
Hitra,0,
Hmong,0,
Honduras,0,
Hong Kong,0,
Hungary,0,
Iceland,0,
India,0,
Indonesia,0,
Iran,0,
Iraq,0,
Iraqi Kurdistan,0,
Isle of Man,0,
Isle of Wight,0,
Israel,0,
Italy,0,
Ivory Coast,0,
Jamaica,0,
Japan,0,
Jersey,0,
Jordan,0,
Kabylia,0,
Kazakhstan,0,
Kenya,1795,"Nairobi (~1,795 m)"
Kernow,0,
Kiribati,0,
Kosovo,0,
Kurdistan,0,
Kuwait,0,
Kyrgyzstan,0,
Kárpátalja,0,
Laos,0,
Latvia,0,
Lebanon,0,
Lesotho,2160,"Maseru (~1,600-2,160 m); high plateau"
Liberia,0,
Libya,0,
Liechtenstein,0,
Lithuania,0,
Luhansk PR,0,
Luxembourg,0,
Macau,0,
Madagascar,0,
Madrid,0,
Malawi,0,
Malaysia,0,
Maldives,0,
Mali,0,
Malta,0,
Manchukuo,0,
Mapuche,0,
Marshall Islands,0,
Martinique,0,
Matabeleland,0,
Maule Sur,0,
Mauritania,0,
Mauritius,0,
Mayotte,0,
Menorca,0,
Mexico,2240,"Estadio Azteca, Mexico City (~2,240 m)"
Micronesia,0,
Moldova,0,
Monaco,0,
Mongolia,0,
Montenegro,0,
Montserrat,0,
Morocco,0,
Mozambique,0,
Myanmar,0,
Namibia,0,
Nepal,0,
Netherlands,0,
New Caledonia,0,
