team,rating,matches_played,last_match_date
Spain,2156.08,783,2026-06-08
Argentina,2144.71,1068,2026-06-06
France,2094.99,935,2026-06-08
Brazil,2046.21,1059,2026-06-06
England,2035.77,1089,2026-06-06
Portugal,1989.15,694,2026-06-06
Netherlands,1986.46,879,2026-06-08
Colombia,1985.89,638,2026-06-07
Germany,1977.2,1031,2026-06-06
Japan,1949.17,790,2026-05-31
Morocco,1948.72,617,2026-06-07
Uruguay,1946.48,970,2026-03-31
Belgium,1945.61,853,2026-06-06
Croatia,1942.26,396,2026-06-07
Ecuador,1918.72,591,2026-06-07
Mexico,1918.09,1003,2026-06-04
Switzerland,1916.34,884,2026-06-06
Italy,1915.13,893,2026-06-07
Senegal,1902.47,637,2026-05-31
Turkey,1886.33,642,2026-06-06
Denmark,1879.7,874,2026-06-07
Iran,1876.05,612,2026-06-04
Norway,1872.21,872,2026-06-07
South Korea,1871.87,1007,2026-06-03
Australia,1858.37,581,2026-06-06
Canada,1848.55,469,2026-06-05
Paraguay,1842.75,783,2026-06-05
Austria,1842.18,860,2026-06-01
Algeria,1836.17,616,2026-06-03
Nigeria,1832.51,660,2026-06-03
United States,1825.18,790,2026-06-06
Panama,1822.07,539,2026-06-06
Russia,1814.23,748,2026-06-05
Yugoslavia,1806.25,483,1992-03-25
Ukraine,1804.28,338,2026-06-07
Egypt,1798.22,756,2026-06-06
Ivory Coast,1791.25,636,2026-06-04
Uzbekistan,1775.19,354,2026-06-08
Scotland,1772.57,851,2026-06-06
Serbia,1769.64,348,2026-06-04
Venezuela,1760.85,459,2026-06-06
Czech Republic,1760.23,360,2026-06-04
Czechoslovakia,1760.0,520,1993-11-17
Chile,1758.72,834,2026-06-06
Greece,1751.48,633,2026-06-07
Poland,1750.99,892,2026-06-03
Sweden,1745.41,1101,2026-06-04
Peru,1745.22,714,2026-06-08
Jersey,1743.29,235,2025-07-18
Iraq,1742.57,654,2026-06-04
Hungary,1742.32,1005,2026-06-05
Basque Country,1739.81,64,2025-11-15
Wales,1729.78,726,2026-06-06
Costa Rica,1728.84,723,2026-06-01
Tunisia,1728.55,678,2026-06-06
New Zealand,1721.78,416,2026-06-06
Jordan,1720.3,485,2026-06-07
Cameroon,1719.23,616,2026-03-31
Republic of Ireland,1717.13,633,2026-06-05
DR Congo,1711.39,523,2026-06-03
Guernsey,1702.97,240,2023-07-13
Slovakia,1694.0,367,2026-06-05
Slovenia,1693.12,317,2026-06-07
Mali,1690.39,569,2026-06-04
German DR,1686.33,298,1990-09-12
Saudi Arabia,1681.25,740,2026-06-05
Kosovo,1680.34,104,2026-06-07
Romania,1677.75,766,2026-06-06
United Arab Emirates,1661.29,612,2025-12-15
Honduras,1659.26,620,2026-06-06
Georgia,1656.59,307,2026-06-05
Haiti,1654.54,510,2026-06-05
Jamaica,1644.14,663,2026-06-06
Israel,1641.28,498,2026-06-03
Isle of Man,1639.42,58,2025-07-18
Padania,1638.5,45,2019-06-08
Burkina Faso,1637.68,463,2026-06-05
South Africa,1637.49,480,2026-06-06
Cape Verde,1633.88,235,2026-06-06
Ghana,1633.1,671,2026-06-02
Bosnia and Herzegovina,1627.75,283,2026-06-06
Albania,1626.13,398,2026-06-06
Qatar,1621.62,635,2026-06-06
Occitania,1616.39,33,2014-12-30
Bolivia,1613.35,533,2026-06-06
Northern Ireland,1608.9,707,2026-06-08
Guatemala,1608.38,554,2026-06-07
Catalonia,1608.15,48,2019-03-25
North Macedonia,1603.86,306,2026-06-01
Isle of Wight,1602.64,48,2023-07-13
Ynys Môn,1602.08,67,2025-07-17
Northern Cyprus,1601.36,34,2018-06-09
Iceland,1597.13,521,2026-05-31
Finland,1590.4,818,2026-06-05
Oman,1587.06,543,2026-06-05
Iraqi Kurdistan,1577.99,27,2016-06-04
Abkhazia,1575.02,33,2019-06-08
New Caledonia,1569.43,265,2026-03-26
Andalusia,1568.23,13,2013-06-07
Curaçao,1566.79,385,2026-06-06
Kernow,1565.42,12,2023-07-16
Syria,1562.85,484,2026-06-05
Réunion,1558.13,124,2023-09-02
Angola,1556.9,414,2026-06-05
China,1555.72,701,2026-06-05
Guinea,1550.94,539,2026-06-04
Rhodes,1548.82,18,2011-06-27
Palestine,1546.8,248,2026-06-06
Ellan Vannin,1545.9,22,2018-06-03
Kárpátalja,1545.61,11,2018-06-09
Panjab,1544.22,19,2019-12-29
County of Nice,1542.27,9,2015-06-21
Tamil Eelam,1540.41,28,2025-07-04
Trinidad and Tobago,1539.93,752,2026-05-30
Yorkshire,1539.64,7,2019-06-01
Suriname,1539.24,399,2026-03-26
Menorca,1538.95,25,2023-07-13
Bahrain,1537.41,584,2026-06-05
Corsica,1536.7,9,2017-05-26
Thailand,1534.21,864,2026-06-05
Benin,1533.56,324,2026-06-05
Zambia,1533.35,793,2026-03-31
Kurdistan,1533.23,5,2013-06-28
Artsakh,1532.12,11,2019-06-08
Libya,1530.53,384,2026-03-31
Gabon,1526.98,405,2026-03-30
Belarus,1524.56,314,2026-06-05
Cascadia,1523.3,7,2019-05-25
Arameans Suryoye,1521.39,10,2014-06-08
Galicia,1520.83,12,2024-05-21
Chameria,1520.19,7,2023-07-01
Quebec,1517.41,3,2013-06-27
Maule Sur,1515.82,2,2022-06-19
Uganda,1515.81,685,2025-12-30
Bulgaria,1515.32,736,2026-06-05
Tahiti,1514.64,242,2025-03-21
Montenegro,1514.4,170,2026-06-05
Asturias,1512.56,1,1923-02-25
Surrey,1511.0,1,2018-05-06
Parishes of Jersey,1510.57,3,2019-06-02
Brittany,1510.13,12,2013-05-28
Canary Islands,1508.76,4,2007-12-29
Gambia,1508.63,266,2026-05-29
Biafra,1508.17,3,2022-05-25
Elba Island,1506.97,1,2022-07-16
Donetsk PR,1506.28,6,2017-08-31
United Koreans in Japan,1505.09,12,2018-06-09
Silesia,1504.08,8,2006-12-09
Crimea,1502.27,5,2006-11-25
Mapuche,1502.18,2,2022-06-18
Sealand,1501.12,12,2014-08-10
Western Armenia,1500.36,16,2019-06-09
Délvidék,1500.2,2,2016-08-03
Felvidék,1498.87,12,2017-06-09
Franconia,1498.5,3,2019-06-25
Saugeais,1498.43,1,2013-06-29
Central Spain,1497.73,2,1923-11-25
Indonesia,1495.5,727,2026-06-05
Guadeloupe,1495.01,271,2025-06-24
Åland Islands,1493.63,51,2023-07-13
Matabeleland,1492.74,8,2022-05-25
Cilento,1492.38,1,2011-12-29
Madrid,1491.76,1,2013-06-07
Sápmi,1491.67,29,2023-07-16
Yoruba Nation,1491.58,2,2022-05-23
Luhansk PR,1490.72,6,2019-12-08
Seborga,1490.17,1,2014-08-10
Martinique,1489.09,331,2026-03-29
Republic of St. Pauli,1488.67,4,2006-06-03
East Turkestan,1487.56,5,2025-07-04
Mozambique,1487.27,374,2026-01-05
Somaliland,1487.04,6,2019-05-04
Madagascar,1486.46,320,2026-06-02
Shetland,1485.78,58,2025-07-17
West Papua,1484.39,2,2022-11-13
Hmong,1483.81,3,2023-08-08
Ryūkyū,1483.78,1,2016-11-26
South Yemen,1483.27,3,1982-11-25
Aymara,1481.99,2,2022-06-19
Gozo,1481.9,14,2025-07-17
El Salvador,1481.62,614,2026-06-06
North Korea,1481.45,390,2025-06-10
Kabylia,1477.35,6,2018-06-09
North Vietnam,1477.35,24,1970-09-20
South Ossetia,1477.09,17,2019-12-08
Székely Land,1476.49,27,2023-07-02
Romani people,1475.73,7,2016-05-16
Malaysia,1475.37,835,2025-11-18
Gotland,1473.86,30,2017-06-29
Nicaragua,1473.21,222,2026-06-05
Niue,1470.06,2,1983-08-22
Vietnam,1469.99,297,2026-03-26
Chechnya,1469.2,3,2006-02-18
Fiji,1468.97,268,2026-06-06
Monaco,1468.73,24,2017-04-29
Găgăuzia,1467.89,3,2006-11-21
Provence,1465.42,23,2013-06-28
Ticino,1464.9,2,2023-08-06
Equatorial Guinea,1463.9,178,2026-03-31
Western Isles,1463.03,34,2025-07-17
Marshall Islands,1462.04,2,2025-08-16
Kuwait,1461.85,684,2026-06-05
Sierra Leone,1461.53,300,2026-06-06
Dominican Republic,1461.09,159,2026-06-03
Guyana,1460.69,313,2026-03-30
Saarland,1459.9,9,1956-06-06
Two Sicilies,1457.74,6,2023-07-02
Niger,1457.49,260,2026-06-08
Togo,1457.25,446,2026-06-05
Tajikistan,1456.66,200,2026-06-05
Palau,1455.17,2,1998-08-01
Sudan,1454.81,469,2026-01-03
Manchukuo,1454.38,3,1942-08-09
Western Sahara,1454.14,9,2013-06-28
Greenland,1454.09,77,2024-06-01
Vanuatu,1453.78,214,2026-06-06
Comoros,1453.54,150,2026-03-31
Mayotte,1451.42,38,2023-08-26
Zanzibar,1450.44,209,2025-01-13
Kazakhstan,1449.96,268,2026-06-06
Kyrgyzstan,1448.88,190,2026-06-06
Vatican City,1448.19,7,2019-03-23
Saint Barthélemy,1446.97,10,2023-03-10
Ambazonia,1446.85,6,2007-06-07
Papua New Guinea,1446.65,155,2025-11-23
French Guiana,1441.96,179,2024-11-19
Armenia,1440.03,271,2026-06-06
Western Australia,1439.44,32,1980-11-25
Kenya,1439.2,706,2026-06-04
Lebanon,1436.3,333,2025-11-26
Zimbabwe,1435.7,496,2026-05-30
Mauritania,1430.29,273,2026-06-08
Orkney,1429.96,28,2025-07-17
Sark,1428.8,4,2003-07-03
Malawi,1428.02,643,2026-06-06
Solomon Islands,1427.45,214,2026-03-30
Namibia,1424.41,279,2026-03-28
Saint Helena,1423.3,8,2023-07-13
Barawa,1421.64,12,2019-05-25
Luxembourg,1420.04,467,2026-06-06
Micronesia,1418.64,7,2003-07-07
Tanzania,1418.34,599,2026-03-29
Estonia,1417.17,549,2026-06-06
