year,class,bin_low,bin_high,n,mean_pred,obs_freq
2018,home_win,0.0,0.1,0,,
2018,home_win,0.1,0.2,4,0.15407452110228342,0.25
2018,home_win,0.2,0.3,20,0.27321493047181206,0.15
2018,home_win,0.3,0.4,21,0.35793298210964336,0.38095238095238093
2018,home_win,0.4,0.5,8,0.448972870834623,0.875
2018,home_win,0.5,0.6,11,0.5544448401499068,0.5454545454545454
2018,home_win,0.6,0.7,0,,
2018,home_win,0.7,0.8,0,,
2018,home_win,0.8,0.9,0,,
2018,home_win,0.9,1.0,0,,
2018,draw,0.0,0.1,0,,
2018,draw,0.1,0.2,0,,
2018,draw,0.2,0.3,33,0.268032955025185,0.18181818181818182
2018,draw,0.3,0.4,31,0.3221853641603658,0.22580645161290322
2018,draw,0.4,0.5,0,,
2018,draw,0.5,0.6,0,,
2018,draw,0.6,0.7,0,,
2018,draw,0.7,0.8,0,,
2018,draw,0.8,0.9,0,,
2018,draw,0.9,1.0,0,,
2018,away_win,0.0,0.1,0,,
2018,away_win,0.1,0.2,9,0.18168164406140916,0.0
2018,away_win,0.2,0.3,11,0.24927817246971476,0.36363636363636365
2018,away_win,0.3,0.4,26,0.34633190221591204,0.38461538461538464
2018,away_win,0.4,0.5,14,0.4323912378369337,0.7142857142857143
2018,away_win,0.5,0.6,1,0.5642247441315954,1.0
2018,away_win,0.6,0.7,3,0.6265914811805947,0.3333333333333333
2018,away_win,0.7,0.8,0,,
2018,away_win,0.8,0.9,0,,
2018,away_win,0.9,1.0,0,,
